WorldBean{word='you', count=374, chineseMsg='null', originMessage='null'}
WorldBean{word='the', count=275, chineseMsg='null', originMessage='null'}
WorldBean{word='a', count=253, chineseMsg='null', originMessage='null'}
WorldBean{word='i', count=249, chineseMsg='null', originMessage='null'}
WorldBean{word='', count=201, chineseMsg='null', originMessage='null'}
WorldBean{word='to', count=165, chineseMsg='null', originMessage='null'}
WorldBean{word='it', count=158, chineseMsg='null', originMessage='null'}
WorldBean{word='and', count=132, chineseMsg='null', originMessage='null'}
WorldBean{word='in', count=118, chineseMsg='null', originMessage='null'}
WorldBean{word='that', count=118, chineseMsg='null', originMessage='null'}
WorldBean{word='of', count=105, chineseMsg='null', originMessage='null'}
WorldBean{word='this', count=105, chineseMsg='null', originMessage='null'}
WorldBean{word='is', count=103, chineseMsg='null', originMessage='null'}
WorldBean{word='its', count=97, chineseMsg='null', originMessage='null'}
WorldBean{word='we', count=94, chineseMsg='null', originMessage='null'}
WorldBean{word='do', count=93, chineseMsg='null', originMessage='null'}
WorldBean{word='im', count=86, chineseMsg='null', originMessage='null'}
WorldBean{word='so', count=80, chineseMsg='null', originMessage='null'}
WorldBean{word='just', count=77, chineseMsg='null', originMessage='null'}
WorldBean{word='are', count=74, chineseMsg='null', originMessage='null'}
WorldBean{word='what', count=74, chineseMsg='null', originMessage='null'}
WorldBean{word='not', count=74, chineseMsg='null', originMessage='null'}
WorldBean{word='know', count=74, chineseMsg='null', originMessage='null'}
WorldBean{word='no', count=72, chineseMsg='null', originMessage='null'}
WorldBean{word='right', count=71, chineseMsg='null', originMessage='null'}
WorldBean{word='was', count=67, chineseMsg='null', originMessage='null'}
WorldBean{word='for', count=66, chineseMsg='null', originMessage='null'}
WorldBean{word='your', count=64, chineseMsg='null', originMessage='null'}
WorldBean{word='be', count=64, chineseMsg='null', originMessage='null'}
WorldBean{word='have', count=63, chineseMsg='null', originMessage='null'}
WorldBean{word='were', count=60, chineseMsg='null', originMessage='null'}
WorldBean{word='okay', count=58, chineseMsg='null', originMessage='null'}
WorldBean{word='on', count=57, chineseMsg='null', originMessage='null'}
WorldBean{word='dont', count=54, chineseMsg='null', originMessage='null'}
WorldBean{word='yeah', count=52, chineseMsg='null', originMessage='null'}
WorldBean{word='all', count=50, chineseMsg='null', originMessage='null'}
WorldBean{word='my', count=49, chineseMsg='null', originMessage='null'}
WorldBean{word='me', count=48, chineseMsg='null', originMessage='null'}
WorldBean{word='can', count=48, chineseMsg='null', originMessage='null'}
WorldBean{word='one', count=46, chineseMsg='null', originMessage='null'}
WorldBean{word='out', count=46, chineseMsg='null', originMessage='null'}
WorldBean{word='oh', count=44, chineseMsg='null', originMessage='null'}
WorldBean{word='go', count=42, chineseMsg='null', originMessage='null'}
WorldBean{word='like', count=42, chineseMsg='null', originMessage='null'}
WorldBean{word='how', count=40, chineseMsg='null', originMessage='null'}
WorldBean{word='thank', count=39, chineseMsg='null', originMessage='null'}
WorldBean{word='her', count=39, chineseMsg='null', originMessage='null'}
WorldBean{word='but', count=39, chineseMsg='null', originMessage='null'}
WorldBean{word='get', count=39, chineseMsg='null', originMessage='null'}
WorldBean{word='there', count=38, chineseMsg='null', originMessage='null'}
WorldBean{word='with', count=38, chineseMsg='null', originMessage='null'}
WorldBean{word='gonna', count=38, chineseMsg='null', originMessage='null'}
WorldBean{word='really', count=38, chineseMsg='null', originMessage='null'}
WorldBean{word='here', count=37, chineseMsg='null', originMessage='null'}
WorldBean{word='youre', count=37, chineseMsg='null', originMessage='null'}
WorldBean{word='well', count=36, chineseMsg='null', originMessage='null'}
WorldBean{word='she', count=36, chineseMsg='null', originMessage='null'}
WorldBean{word='good', count=34, chineseMsg='null', originMessage='null'}
WorldBean{word='necklace', count=33, chineseMsg='null', originMessage='null'}
WorldBean{word='yes', count=33, chineseMsg='null', originMessage='null'}
WorldBean{word='thats', count=32, chineseMsg='null', originMessage='null'}
WorldBean{word='he', count=32, chineseMsg='null', originMessage='null'}
WorldBean{word='at', count=31, chineseMsg='null', originMessage='null'}
WorldBean{word='very', count=29, chineseMsg='null', originMessage='null'}
WorldBean{word='if', count=28, chineseMsg='null', originMessage='null'}
WorldBean{word='they', count=28, chineseMsg='null', originMessage='null'}
WorldBean{word='who', count=27, chineseMsg='null', originMessage='null'}
WorldBean{word='see', count=27, chineseMsg='null', originMessage='null'}
WorldBean{word='now', count=25, chineseMsg='null', originMessage='null'}
WorldBean{word='from', count=24, chineseMsg='null', originMessage='null'}
WorldBean{word='sorry', count=24, chineseMsg='null', originMessage='null'}
WorldBean{word='then', count=24, chineseMsg='null', originMessage='null'}
WorldBean{word='up', count=24, chineseMsg='null', originMessage='null'}
WorldBean{word='come', count=24, chineseMsg='null', originMessage='null'}
WorldBean{word='would', count=23, chineseMsg='null', originMessage='null'}
WorldBean{word='got', count=23, chineseMsg='null', originMessage='null'}
WorldBean{word='think', count=23, chineseMsg='null', originMessage='null'}
WorldBean{word='back', count=23, chineseMsg='null', originMessage='null'}
WorldBean{word='where', count=23, chineseMsg='null', originMessage='null'}
WorldBean{word='an', count=23, chineseMsg='null', originMessage='null'}
WorldBean{word='little', count=23, chineseMsg='null', originMessage='null'}
WorldBean{word='did', count=22, chineseMsg='null', originMessage='null'}
WorldBean{word='need', count=22, chineseMsg='null', originMessage='null'}
WorldBean{word='hi', count=21, chineseMsg='null', originMessage='null'}
WorldBean{word='want', count=20, chineseMsg='null', originMessage='null'}
WorldBean{word='about', count=20, chineseMsg='null', originMessage='null'}
